date,category,sales,transactions,avg_basket_size,day_of_week,month
2025-05-01,Groceries,23496.38,20,1471.82,3,5
2025-05-01,Footwear,17584.15,18,865.3,3,5
2025-05-01,HomeDecor,10502.12,8,1666.6,3,5
2025-05-02,Electronics,39489.62,42,2019.33,4,5
2025-05-02,Clothing,24518.04,24,2305.86,4,5
2025-05-02,Groceries,19811.54,19,1287.79,4,5
2025-05-02,Footwear,18039.85,20,1568.1,4,5
2025-05-02,HomeDecor,14064.52,16,2035.99,4,5
2025-05-03,Electronics,56446.4,65,890.4,5,5
2025-05-03,Clothing,31535.99,35,2104.95,5,5
2025-05-03,Groceries,27800.45,27,1733.18,5,5
2025-05-03,Footwear,23710.25,23,1325.08,5,5
2025-05-03,HomeDecor,18891.66,18,1605.32,5,5
2025-05-04,Electronics,49163.16,45,2235.48,6,5
2025-05-04,Clothing,33785.87,41,1892.54,6,5
2025-05-04,Groceries,25513.7,29,1895.25,6,5
2025-05-04,Footwear,20204.71,18,2026.67,6,5
2025-05-04,HomeDecor,18611.06,15,1817.83,6,5
2025-05-05,Electronics,43437.62,50,1157.65,0,5
2025-05-05,Clothing,25316.37,28,1462.08,0,5
2025-05-05,Groceries,23382.51,20,2264.12,0,5
2025-05-05,Footwear,17614.78,18,2446.59,0,5
2025-05-05,HomeDecor,11927.47,10,939.44,0,5
2025-05-06,Electronics,39632.34,46,2253.99,1,5
2025-05-06,Clothing,29421.99,30,2199.17,1,5
2025-05-06,Groceries,21173.87,19,1757.04,1,5
2025-05-06,Footwear,19659.89,22,1310.44,1,5
2025-05-06,HomeDecor,9409.82,10,1624.82,1,5
2025-05-07,Electronics,41393.78,34,2352.62,2,5
2025-05-07,Clothing,25721.97,32,1737.99,2,5
2025-05-07,Groceries,20614.61,19,637.01,2,5
2025-05-07,Footwear,17155.99,17,2269.57,2,5
2025-05-07,HomeDecor,10215.85,10,1054.96,2,5
2025-05-08,Electronics,37409.76,40,2268.22,3,5
2025-05-08,Clothing,26410.64,31,762.74,3,5
2025-05-08,Groceries,24390.52,23,2150.44,3,5
2025-05-08,Footwear,16118.94,13,1612.14,3,5
2025-05-08,HomeDecor,11719.17,13,843.94,3,5
2025-05-09,Electronics,36330.78,34,2399.01,4,5
2025-05-09,Clothing,27834.28,31,1103.61,4,5
2025-05-09,Groceries,21948.6,19,1403.96,4,5
2025-05-09,Footwear,16099.41,17,2364.94,4,5
2025-05-09,HomeDecor,13404.42,11,1986.87,4,5
2025-05-10,Electronics,52138.78,57,1954.6,5,5
2025-05-10,Clothing,37759.56,37,2490.78,5,5
2025-05-10,Groceries,26673.49,23,1309.5,5,5
2025-05-10,Footwear,22198.02,20,1457.82,5,5
2025-05-10,HomeDecor,16537.58,17,1026.92,5,5
2025-05-11,Electronics,44080.27,45,639.97,6,5
2025-05-11,Clothing,35444.39,32,1037.22,6,5
2025-05-11,Groceries,29436.4,32,613.66,6,5
2025-05-11,Footwear,22961.74,19,1799.1,6,5
2025-05-11,HomeDecor,16808.72,18,728.06,6,5
2025-05-12,Electronics,32836.21,40,2233.31,0,5
2025-05-12,Clothing,24427.35,29,1576.9,0,5
2025-05-12,Groceries,20521.73,21,1871.06,0,5
2025-05-12,Footwear,15636.13,17,1624.54,0,5
2025-05-12,HomeDecor,12544.36,10,2377.48,0,5
2025-05-13,Electronics,39795.49,36,1694.8,1,5
2025-05-13,Clothing,30309.77,32,2090.78,1,5
2025-05-13,Groceries,21620.98,21,961.78,1,5
2025-05-13,Footwear,17437.84,20,1852.07,1,5
2025-05-13,HomeDecor,12655.08,12,1404.8,1,5
2025-05-14,Electronics,30910.7,29,2241.29,2,5
2025-05-14,Clothing,25432.39,30,1879.39,2,5
2025-05-14,Groceries,21377.99,18,786.99,2,5
2025-05-14,Footwear,21187.51,21,1983.61,2,5
2025-05-14,HomeDecor,12504.74,14,1072.45,2,5
2025-05-15,Electronics,39403.42,43,1618.94,3,5
2025-05-15,Clothing,25411.48,29,1401.58,3,5
2025-05-15,Groceries,18766.56,19,1478.99,3,5
2025-05-15,Footwear,18942.8,22,1441.95,3,5
2025-05-15,HomeDecor,13708.71,12,786.03,3,5
2025-05-16,Electronics,41275.7,36,2498.64,4,5
2025-05-16,Clothing,23181.06,28,2441.09,4,5
2025-05-16,Groceries,24230.94,20,2212.52,4,5
2025-05-16,Footwear,14616.85,16,1372.19,4,5
2025-05-16,HomeDecor,13498.24,12,1006.12,4,5
2025-05-17,Electronics,62948.47,62,2314.64,5,5
2025-05-17,Clothing,31015.08,35,1320.05,5,5
2025-05-17,Groceries,27062.93,27,1103.89,5,5
2025-05-17,Footwear,23178.7,22,1141.97,5,5
2025-05-17,HomeDecor,16345.89,14,2418.9,5,5
2025-05-18,Electronics,43630.26,40,1857.56,6,5
2025-05-18,Clothing,34661.03,33,894.11,6,5
2025-05-18,Groceries,25640.02,26,1013.63,6,5
2025-05-18,Footwear,24036.89,28,1700.44,6,5
2025-05-18,HomeDecor,15629.94,14,715.82,6,5
2025-05-19,Electronics,44178.5,46,708.61,0,5
2025-05-19,Clothing,23502.7,21,1505.9,0,5
2025-05-19,Groceries,20565.62,19,899.12,0,5
2025-05-19,Footwear,18382.98,17,752.21,0,5
2025-05-19,HomeDecor,11180.65,12,730.19,0,5
2025-05-20,Electronics,39120.03,46,1882.9,1,5
2025-05-20,Clothing,28833.21,31,1367.17,1,5
2025-05-20,Groceries,17834.1,16,1067.81,1,5
2025-05-20,Footwear,17313.88,15,675.51,1,5
2025-05-20,HomeDecor,13081.35,15,1396.53,1,5
2025-05-21,Electronics,41240.47,37,1673.93,2,5
2025-05-21,Clothing,22345.78,23,2375.94,2,5
2025-05-21,Groceries,18444.03,20,1872.48,2,5
2025-05-21,Footwear,17887.3,18,1053.5,2,5
2025-05-21,HomeDecor,13128.66,13,848.67,2,5
2025-05-22,Electronics,39208.14,34,1169.99,3,5
2025-05-22,Clothing,26383.44,27,2365.13,3,5
2025-05-22,Groceries,19804.95,23,617.7,3,5
2025-05-22,Footwear,17394.83,15,2497.06,3,5
2025-05-22,HomeDecor,13123.67,15,739.2,3,5
2025-05-23,Electronics,35517.61,39,1561.18,4,5
2025-05-23,Clothing,30257.73,34,2373.19,4,5
2025-05-23,Groceries,22256.89,26,2270.61,4,5
2025-05-23,Footwear,14974.78,15,1141.48,4,5
2025-05-23,HomeDecor,13587.11,13,2184.12,4,5
2025-05-24,Electronics,46604.49,40,1174.78,5,5
2025-05-24,Clothing,37134.54,32,1604.99,5,5
2025-05-24,Groceries,32011.22,28,2152.5,5,5
2025-05-24,Footwear,21066.53,22,2370.34,5,5
2025-05-24,HomeDecor,18870.71,22,2383.97,5,5
2025-05-25,Electronics,53769.0,61,1102.49,6,5
2025-05-25,Clothing,37254.94,43,2010.59,6,5
2025-05-25,Groceries,34128.92,38,1117.46,6,5
2025-05-25,Footwear,22386.83,20,1000.2,6,5
2025-05-25,HomeDecor,15915.13,16,986.83,6,5
2025-05-26,Electronics,34847.61,31,2220.53,0,5
2025-05-26,Clothing,23419.68,22,1528.21,0,5
2025-05-26,Groceries,21086.16,25,775.37,0,5
2025-05-26,Footwear,17579.96,17,2175.76,0,5
2025-05-26,HomeDecor,13102.78,15,606.74,0,5
2025-05-27,Electronics,41413.98,34,848.56,1,5
2025-05-27,Clothing,25533.15,27,907.01,1,5
2025-05-27,Groceries,24338.76,23,1648.19,1,5
2025-05-27,Footwear,16550.08,16,1665.72,1,5
2025-05-27,HomeDecor,16218.22,18,742.96,1,5
2025-05-28,Electronics,40643.18,35,2317.46,2,5
2025-05-28,Clothing,23314.25,21,668.45,2,5
2025-05-28,Groceries,18974.35,19,1706.77,2,5
2025-05-28,Footwear,17820.2,20,1416.59,2,5
2025-05-28,HomeDecor,12465.08,15,1185.69,2,5
2025-05-29,Electronics,40981.05,49,2307.96,3,5
2025-05-29,Clothing,26706.76,29,1895.93,3,5
2025-05-29,Groceries,21095.24,18,795.31,3,5
2025-05-29,Footwear,15560.45,12,1663.78,3,5
2025-05-29,HomeDecor,10818.57,10,2450.29,3,5
2025-05-30,Electronics,36542.08,30,893.65,4,5
2025-05-30,Clothing,27683.82,30,2242.75,4,5
2025-05-30,Groceries,21704.95,24,2274.69,4,5
2025-05-30,Footwear,14882.24,18,940.79,4,5
2025-05-30,HomeDecor,12970.81,13,2086.53,4,5
2025-05-31,Electronics,53627.18,53,2124.25,5,5
2025-05-31,Clothing,31382.32,26,2140.42,5,5
2025-05-31,Groceries,29128.5,31,902.48,5,5
2025-05-31,Footwear,23083.59,19,805.38,5,5
2025-05-31,HomeDecor,15245.16,18,2231.33,5,5
2025-06-01,Electronics,53485.02,58,979.19,6,6
2025-06-01,Clothing,36355.5,35,1264.35,6,6
2025-06-01,Groceries,31794.5,34,1023.55,6,6
2025-06-01,Footwear,25368.48,22,966.95,6,6
2025-06-01,HomeDecor,14841.19,15,1129.35,6,6
2025-06-02,Electronics,34662.82,41,2437.09,0,6
2025-06-02,Clothing,26813.34,28,1267.18,0,6
2025-06-02,Groceries,22341.8,21,1359.39,0,6
2025-06-02,Footwear,17875.58,16,1229.18,0,6
2025-06-02,HomeDecor,17662.23,21,819.15,0,6
2025-06-03,Electronics,40433.66,43,939.28,1,6
2025-06-03,Clothing,28395.69,30,672.69,1,6
2025-06-03,Groceries,23277.25,21,1425.67,1,6
2025-06-03,Footwear,18107.37,15,2094.21,1,6
2025-06-03,HomeDecor,12348.03,12,1751.8,1,6
2025-06-04,Electronics,41153.06,38,819.73,2,6
2025-06-04,Clothing,23529.3,21,961.15,2,6
2025-06-04,Groceries,20746.76,25,1946.69,2,6
2025-06-04,Footwear,16174.88,20,1587.85,2,6
2025-06-04,HomeDecor,12854.39,11,1905.03,2,6
2025-06-05,Electronics,47103.57,39,2000.37,3,6
2025-06-05,Clothing,20738.47,23,1292.02,3,6
2025-06-05,Groceries,22708.3,27,2402.86,3,6
2025-06-05,Footwear,14258.38,14,1784.0,3,6
2025-06-05,HomeDecor,12148.29,10,2211.23,3,6
2025-06-06,Electronics,42415.24,36,2310.09,4,6
2025-06-06,Clothing,25663.91,24,1187.64,4,6
2025-06-06,Groceries,18959.79,18,1219.75,4,6
2025-06-06,Footwear,15783.98,13,1161.74,4,6
2025-06-06,HomeDecor,13616.49,15,964.5,4,6
2025-06-07,Electronics,47866.07,41,2386.69,5,6
2025-06-07,Clothing,35170.16,30,2021.46,5,6
2025-06-07,Groceries,28818.23,32,1769.48,5,6
2025-06-07,Footwear,21454.58,22,1371.54,5,6
2025-06-07,HomeDecor,20902.76,26,1177.36,5,6
2025-06-08,Electronics,54910.9,60,1416.79,6,6
2025-06-08,Clothing,27453.45,25,1752.66,6,6
2025-06-08,Groceries,29222.39,30,1483.48,6,6
2025-06-08,Footwear,21431.2,20,1883.69,6,6
2025-06-08,HomeDecor,18679.75,17,1499.05,6,6
2025-06-09,Electronics,35218.61,29,922.41,0,6
2025-06-09,Clothing,25207.42,29,1139.19,0,6
2025-06-09,Groceries,22323.1,19,1802.59,0,6
2025-06-09,Footwear,18471.78,19,777.44,0,6
2025-06-09,HomeDecor,11219.62,9,1046.25,0,6
2025-06-10,Electronics,36970.53,38,1026.82,1,6
2025-06-10,Clothing,24288.89,26,879.97,1,6
2025-06-10,Groceries,19861.68,24,1065.2,1,6
2025-06-10,Footwear,20001.27,19,1761.42,1,6
2025-06-10,HomeDecor,13266.35,11,738.37,1,6
2025-06-11,Electronics,33427.12,33,2283.66,2,6
2025-06-11,Clothing,27840.55,25,969.43,2,6
2025-06-11,Groceries,25759.58,22,1329.56,2,6
2025-06-11,Footwear,18755.19,18,1063.57,2,6
2025-06-11,HomeDecor,10812.8,9,1906.48,2,6
2025-06-12,Electronics,36397.8,30,2234.84,3,6
2025-06-12,Clothing,28730.62,33,2079.0,3,6
2025-06-12,Groceries,19746.2,21,934.18,3,6
2025-06-12,Footwear,17754.49,15,1584.12,3,6
2025-06-12,HomeDecor,13737.66,16,1659.07,3,6
2025-06-13,Electronics,34704.49,40,1467.28,4,6
2025-06-13,Clothing,25348.21,24,1868.4,4,6
2025-06-13,Groceries,14362.31,13,1731.36,4,6
2025-06-13,Footwear,15258.54,12,2293.71,4,6
2025-06-13,HomeDecor,12427.98,11,2148.51,4,6
2025-06-14,Electronics,45194.26,42,1410.81,5,6
2025-06-14,Clothing,40044.58,37,1447.24,5,6
2025-06-14,Groceries,24584.78,27,2012.95,5,6
2025-06-14,Footwear,21940.1,21,1455.13,5,6
2025-06-14,HomeDecor,17437.54,14,1069.76,5,6
2025-06-15,Electronics,59079.87,52,1126.89,6,6
2025-06-15,Clothing,29482.04,24,1590.47,6,6
2025-06-15,Groceries,32024.33,28,1054.57,6,6
2025-06-15,Footwear,22973.48,22,747.22,6,6
2025-06-15,HomeDecor,15523.08,16,1045.54,6,6
2025-06-16,Electronics,40017.55,41,1207.45,0,6
2025-06-16,Clothing,26007.6,24,753.1,0,6
2025-06-16,Groceries,19974.54,22,1039.4,0,6
2025-06-16,Footwear,17118.66,14,890.33,0,6
2025-06-16,HomeDecor,12258.73,13,722.03,0,6
2025-06-17,Electronics,38684.2,38,1228.67,1,6
2025-06-17,Clothing,27188.43,26,1389.97,1,6
2025-06-17,Groceries,24620.29,27,2182.49,1,6
2025-06-17,Footwear,14895.71,14,2319.19,1,6
2025-06-17,HomeDecor,15469.62,14,2397.52,1,6
2025-06-18,Electronics,30783.26,38,2227.79,2,6
2025-06-18,Clothing,25112.95,21,1693.81,2,6
2025-06-18,Groceries,22500.17,21,611.2,2,6
2025-06-18,Footwear,17477.69,17,1167.36,2,6
2025-06-18,HomeDecor,11956.06,11,2221.55,2,6
2025-06-19,Electronics,37453.93,36,1622.62,3,6
2025-06-19,Clothing,24242.85,20,1637.65,3,6
2025-06-19,Groceries,19997.6,18,2305.84,3,6
2025-06-19,Footwear,18444.32,17,1016.9,3,6
2025-06-19,HomeDecor,13205.19,12,1522.72,3,6
2025-06-20,Electronics,35599.62,35,1238.65,4,6
2025-06-20,Clothing,27793.98,24,2116.47,4,6
2025-06-20,Groceries,21903.01,18,913.58,4,6
2025-06-20,Footwear,18381.87,17,2347.13,4,6
2025-06-20,HomeDecor,13552.78,12,1614.83,4,6
2025-06-21,Electronics,47356.78,47,1724.6,5,6
2025-06-21,Clothing,32496.58,28,651.49,5,6
2025-06-21,Groceries,30831.3,27,1414.36,5,6
2025-06-21,Footwear,24350.8,23,945.29,5,6
2025-06-21,HomeDecor,17176.52,18,1320.3,5,6
2025-06-22,Electronics,52243.35,57,1463.93,6,6
2025-06-22,Clothing,38823.36,39,2046.34,6,6
2025-06-22,Groceries,26990.43,27,1128.69,6,6
2025-06-22,Footwear,24205.59,23,1079.32,6,6
2025-06-22,HomeDecor,16864.48,20,1493.58,6,6
2025-06-23,Electronics,37417.37,31,1624.9,0,6
2025-06-23,Clothing,28301.88,28,1026.02,0,6
2025-06-23,Groceries,23004.01,27,2084.34,0,6
2025-06-23,Footwear,18382.97,16,676.49,0,6
2025-06-23,HomeDecor,14414.49,17,2404.26,0,6
2025-06-24,Electronics,38330.34,42,2194.53,1,6
2025-06-24,Clothing,27238.98,24,889.53,1,6
2025-06-24,Groceries,20590.68,23,1499.77,1,6
2025-06-24,Footwear,17551.08,20,1671.54,1,6
2025-06-24,HomeDecor,12584.07,13,1483.56,1,6
2025-06-25,Electronics,38621.01,41,2057.11,2,6
2025-06-25,Clothing,27017.65,30,1751.2,2,6
2025-06-25,Groceries,19511.28,16,1964.88,2,6
2025-06-25,Footwear,20557.06,17,2156.67,2,6
2025-06-25,HomeDecor,11467.33,11,805.39,2,6
2025-06-26,Electronics,33605.73,41,2364.89,3,6
2025-06-26,Clothing,28453.18,26,1886.96,3,6
2025-06-26,Groceries,22932.28,23,1353.64,3,6
2025-06-26,Footwear,18061.0,15,976.83,3,6
2025-06-26,HomeDecor,13551.14,12,1912.17,3,6
2025-06-27,Electronics,38203.16,34,1061.41,4,6
2025-06-27,Clothing,23212.0,20,2067.71,4,6
2025-06-27,Groceries,21411.08,18,1740.78,4,6
2025-06-27,Footwear,15848.83,18,2112.83,4,6
2025-06-27,HomeDecor,13993.28,12,2087.01,4,6
2025-06-28,Electronics,50878.13,52,1612.22,5,6
2025-06-28,Clothing,31583.23,27,1304.08,5,6
2025-06-28,Groceries,27765.52,26,1830.33,5,6
2025-06-28,Footwear,23897.68,29,2214.19,5,6
2025-06-28,HomeDecor,16242.19,15,800.52,5,6
2025-06-29,Electronics,47391.76,48,1807.61,6,6
2025-06-29,Clothing,35263.89,34,1943.89,6,6
2025-06-29,Groceries,29390.25,28,934.66,6,6
2025-06-29,Footwear,21786.57,20,2434.4,6,6
2025-06-29,HomeDecor,16401.73,17,1770.23,6,6
2025-06-30,Electronics,39137.59,36,2071.82,0,6
2025-06-30,Clothing,21807.38,21,1427.59,0,6
2025-06-30,Groceries,18259.14,15,1725.7,0,6
2025-06-30,Footwear,15778.64,16,2218.26,0,6
2025-06-30,HomeDecor,12477.85,14,1129.96,0,6
2025-07-01,Electronics,46399.08,45,1063.34,1,7
2025-07-01,Clothing,34426.07,33,1682.71,1,7
2025-07-01,Groceries,27144.15,23,1320.08,1,7
2025-07-01,Footwear,19680.12,24,1539.18,1,7
2025-07-01,HomeDecor,14971.48,15,945.5,1,7
2025-07-02,Electronics,40488.62,44,1274.17,2,7
2025-07-02,Clothing,29944.46,32,1246.64,2,7
2025-07-02,Groceries,24278.35,21,1932.25,2,7
2025-07-02,Footwear,20645.44,21,1656.0,2,7
2025-07-02,HomeDecor,13759.15,12,2401.32,2,7
2025-07-03,Electronics,47337.06,56,1058.58,3,7
2025-07-03,Clothing,34598.22,34,1528.3,3,7
2025-07-03,Groceries,24728.1,20,1056.62,3,7
2025-07-03,Footwear,20803.42,19,1827.22,3,7
2025-07-03,HomeDecor,16035.22,15,1451.53,3,7
2025-07-04,Electronics,43194.51,53,776.8,4,7
2025-07-04,Clothing,30672.28,33,1368.36,4,7
2025-07-04,Groceries,25031.48,27,1181.79,4,7
2025-07-04,Footwear,20195.35,18,1301.14,4,7
2025-07-04,HomeDecor,13840.49,12,1608.75,4,7
2025-07-05,Electronics,60898.9,59,2493.6,5,7
2025-07-05,Clothing,42516.89,39,1228.5,5,7
2025-07-05,Groceries,38647.61,33,1462.12,5,7
2025-07-05,Footwear,29590.03,30,1077.67,5,7
2025-07-05,HomeDecor,24610.19,28,1970.44,5,7
2025-07-06,Electronics,56088.36,58,827.15,6,7
2025-07-06,Clothing,44032.9,40,2406.67,6,7
2025-07-06,Groceries,34368.78,29,951.78,6,7
2025-07-06,Footwear,32912.47,36,2003.35,6,7
2025-07-06,HomeDecor,18613.2,19,1976.71,6,7
2025-07-07,Electronics,41221.25,34,1596.81,0,7
2025-07-07,Clothing,28201.82,29,2462.97,0,7
2025-07-07,Groceries,19690.26,21,1162.87,0,7
2025-07-07,Footwear,18948.49,19,940.94,0,7
2025-07-07,HomeDecor,13861.3,17,1945.24,0,7
2025-07-08,Electronics,45676.77,52,1121.19,1,7
2025-07-08,Clothing,31025.27,37,1651.38,1,7
2025-07-08,Groceries,29690.43,25,2393.77,1,7
2025-07-08,Footwear,21900.85,19,2250.08,1,7
2025-07-08,HomeDecor,14134.64,13,794.92,1,7
2025-07-09,Electronics,40957.13,50,1690.72,2,7
2025-07-09,Clothing,31475.76,30,1509.56,2,7
2025-07-09,Groceries,21699.42,22,950.29,2,7
2025-07-09,Footwear,23662.92,28,1079.71,2,7
2025-07-09,HomeDecor,16769.16,16,816.77,2,7
2025-07-10,Electronics,42888.71,51,1361.34,3,7
2025-07-10,Clothing,24860.6,29,1696.34,3,7
2025-07-10,Groceries,28384.68,24,701.86,3,7
2025-07-10,Footwear,19770.92,22,2141.17,3,7
2025-07-10,HomeDecor,16856.72,17,761.84,3,7
2025-07-11,Electronics,37825.08,40,825.06,4,7
2025-07-11,Clothing,28201.87,23,1390.73,4,7
2025-07-11,Groceries,25013.11,22,2102.41,4,7
2025-07-11,Footwear,20093.96,21,2073.82,4,7
2025-07-11,HomeDecor,14324.9,14,1455.98,4,7
2025-07-12,Electronics,64533.81,62,1164.97,5,7
2025-07-12,Clothing,36176.14,32,2481.06,5,7
2025-07-12,Groceries,33269.47,34,1680.4,5,7
2025-07-12,Footwear,27324.8,32,1758.3,5,7
2025-07-12,HomeDecor,21291.74,18,788.54,5,7
2025-07-13,Electronics,65073.06,54,994.8,6,7
2025-07-13,Clothing,35945.2,39,1102.83,6,7
2025-07-13,Groceries,28572.36,33,898.41,6,7
2025-07-13,Footwear,30449.73,34,1648.79,6,7
2025-07-13,HomeDecor,20922.94,23,605.08,6,7
2025-07-14,Electronics,41631.81,40,1909.81,0,7
2025-07-14,Clothing,34653.46,33,1153.39,0,7
2025-07-14,Groceries,25289.19,27,1147.4,0,7
2025-07-14,Footwear,22358.59,23,1935.68,0,7
2025-07-14,HomeDecor,15101.28,14,735.24,0,7
2025-07-15,Electronics,54273.37,59,2355.43,1,7
2025-07-15,Clothing,35266.02,31,1720.6,1,7
2025-07-15,Groceries,24377.59,27,1407.76,1,7
2025-07-15,Footwear,21943.14,20,1027.14,1,7
2025-07-15,HomeDecor,15968.06,18,2325.98,1,7
2025-07-16,Electronics,51158.84,58,735.68,2,7
2025-07-16,Clothing,27105.23,30,2105.99,2,7
2025-07-16,Groceries,26715.13,24,2023.02,2,7
2025-07-16,Footwear,22116.85,20,2350.27,2,7
2025-07-16,HomeDecor,12361.89,12,836.27,2,7
2025-07-17,Electronics,39675.34,34,1177.77,3,7
2025-07-17,Clothing,23882.3,23,2391.08,3,7
2025-07-17,Groceries,24326.48,23,1625.96,3,7
2025-07-17,Footwear,21435.08,20,752.84,3,7
2025-07-17,HomeDecor,17253.54,21,2289.9,3,7
2025-07-18,Electronics,45333.43,38,1212.41,4,7
2025-07-18,Clothing,34885.85,37,649.14,4,7
2025-07-18,Groceries,21549.75,23,2427.63,4,7
2025-07-18,Footwear,16593.24,15,1715.53,4,7
2025-07-18,HomeDecor,14916.68,18,2499.19,4,7
2025-07-19,Electronics,63083.2,55,2160.7,5,7
2025-07-19,Clothing,40367.59,36,676.44,5,7
2025-07-19,Groceries,26772.38,22,932.86,5,7
2025-07-19,Footwear,26759.38,25,1837.87,5,7
2025-07-19,HomeDecor,17608.45,18,944.83,5,7
2025-07-20,Electronics,64818.26,58,1428.18,6,7
2025-07-20,Clothing,41984.72,39,2441.2,6,7
2025-07-20,Groceries,30577.91,29,1261.13,6,7
2025-07-20,Footwear,25612.56,26,1210.01,6,7
2025-07-20,HomeDecor,18105.09,21,2229.69,6,7
2025-07-21,Electronics,44717.94,46,1382.13,0,7
2025-07-21,Clothing,32865.43,31,1147.61,0,7
2025-07-21,Groceries,22535.68,22,2145.78,0,7
2025-07-21,Footwear,21008.09,19,669.72,0,7
2025-07-21,HomeDecor,14204.61,16,1197.58,0,7
2025-07-22,Electronics,41432.07,42,820.25,1,7
2025-07-22,Clothing,29678.91,24,1367.93,1,7
2025-07-22,Groceries,22411.89,21,2167.36,1,7
2025-07-22,Footwear,18892.7,23,1849.55,1,7
2025-07-22,HomeDecor,13203.18,12,1477.76,1,7
2025-07-23,Electronics,53841.26,65,956.41,2,7
2025-07-23,Clothing,30105.79,30,1783.0,2,7
2025-07-23,Groceries,23250.69,22,1788.28,2,7
2025-07-23,Footwear,20427.96,17,698.06,2,7
2025-07-23,HomeDecor,14831.51,15,1643.52,2,7
2025-07-24,Electronics,44005.64,46,1432.42,3,7
2025-07-24,Clothing,31842.5,27,1520.95,3,7
2025-07-24,Groceries,26893.77,33,2448.98,3,7
2025-07-24,Footwear,18939.0,17,2118.7,3,7
2025-07-24,HomeDecor,14136.27,12,900.92,3,7
2025-07-25,Electronics,43762.27,40,625.98,4,7
2025-07-25,Clothing,23094.24,22,777.1,4,7
2025-07-25,Groceries,21212.02,24,1476.75,4,7
2025-07-25,Footwear,22733.75,26,1830.65,4,7
2025-07-25,HomeDecor,17467.45,19,1546.91,4,7
2025-07-26,Electronics,59237.11,50,1154.54,5,7
2025-07-26,Clothing,42835.06,36,1119.51,5,7
2025-07-26,Groceries,34800.47,33,2462.46,5,7
2025-07-26,Footwear,35312.98,38,1467.89,5,7
2025-07-26,HomeDecor,22517.14,25,1328.81,5,7
2025-07-27,Electronics,59972.9,54,1565.66,6,7
2025-07-27,Clothing,36630.06,42,2241.65,6,7
2025-07-27,Groceries,28328.24,30,2068.08,6,7
2025-07-27,Footwear,27549.35,27,1245.76,6,7
2025-07-27,HomeDecor,18718.39,17,1107.63,6,7
2025-07-28,Electronics,38599.86,48,1137.39,0,7
2025-07-28,Clothing,28060.28,29,2191.2,0,7
2025-07-28,Groceries,22296.13,20,2497.91,0,7
2025-07-28,Footwear,23374.28,22,2244.0,0,7
2025-07-28,HomeDecor,16322.46,15,1623.3,0,7
2025-07-29,Electronics,44964.12,46,1231.64,1,7
2025-07-29,Clothing,34439.83,28,1632.52,1,7
2025-07-29,Groceries,25193.42,24,2372.42,1,7
2025-07-29,Footwear,18277.43,20,2463.47,1,7
